filename,identifier_type,identifier
0704.0572v1.pdf,arxiv,0704.0572v1
0704.3734v1.pdf,arxiv,0704.3734v1
0801.3794v1.pdf,arxiv,0801.3794v1
0911.0224v1.pdf,arxiv,0911.0224v1
10.1002_adfm.201401841.pdf,doi,10.1002/adfm.201401841
10.1002_adfm.201804354.pdf,doi,10.1002/adfm.201804354
10.1002_adfm.201903936.pdf,doi,10.1002/adfm.201903936
10.1002_adfm.201907432.pdf,doi,10.1002/adfm.201907432
10.1002_adfm.202212640.pdf,doi,10.1002/adfm.202212640
10.1002_adfm.202302214.pdf,doi,10.1002/adfm.202302214
10.1002_adma.201501826.pdf,doi,10.1002/adma.201501826
10.1002_adma.201807376.pdf,doi,10.1002/adma.201807376
10.1002_adom.201901542.pdf,doi,10.1002/adom.201901542
10.1002_adts.202200413.pdf,doi,10.1002/adts.202200413
10.1002_aelm.201900887.pdf,doi,10.1002/aelm.201900887
10.1002_aelm.202000213.pdf,doi,10.1002/aelm.202000213
10.1002_aelm.202400988.pdf,doi,10.1002/aelm.202400988
10.1002_aenm.201200304.pdf,doi,10.1002/aenm.201200304
10.1002_aenm.202405889.pdf,doi,10.1002/aenm.202405889
10.1002_macp.200900670.pdf,doi,10.1002/macp.200900670
10.1002_pssa.201228459.pdf,doi,10.1002/pssa.201228459
10.1002_pssb.201451171.pdf,doi,10.1002/pssb.201451171
10.1002_pssb.202200553.pdf,doi,10.1002/pssb.202200553
10.1002_smll.202505063.pdf,doi,10.1002/smll.202505063
10.1002_solr.201900505.pdf,doi,10.1002/solr.201900505
10.1002_solr.202000029.pdf,doi,10.1002/solr.202000029
10.1002_wcms.1375.pdf,doi,10.1002/wcms.1375
10.1002adfm.201002014.pdf,doi,10.1002/adfm.201002014
10.1002adfm.201301121.pdf,doi,10.1002/adfm.201301121
10.1002adfm.201304216.pdf,doi,10.1002/adfm.201304216
10.1002adfm.201801874.pdf,doi,10.1002/adfm.201801874
10.1002adfm.201802895.pdf,doi,10.1002/adfm.201802895
10.1002adfm.201806262.pdf,doi,10.1002/adfm.201806262
10.1002adfm.201806977.pdf,doi,10.1002/adfm.201806977
10.1002adfm.201902238.pdf,doi,10.1002/adfm.201902238
10.1002adfm.201902478.pdf,doi,10.1002/adfm.201902478
10.1002adfm.201906855.pdf,doi,10.1002/adfm.201906855
10.1002adfm.202000489.pdf,doi,10.1002/adfm.202000489
10.1002adfm.202008699.pdf,doi,10.1002/adfm.202008699
10.1002adfm.202102522.pdf,doi,10.1002/adfm.202102522
10.1002adfm.202105304.pdf,doi,10.1002/adfm.202105304
10.1002adfm.202109271.pdf,doi,10.1002/adfm.202109271
10.1002adfm.202112511.pdf,doi,10.1002/adfm.202112511
10.1002adfm.202201150.pdf,doi,10.1002/adfm.202201150
10.1002adfm.202305611.pdf,doi,10.1002/adfm.202305611
10.1002adma.201102421.pdf,doi,10.1002/adma.201102421
10.1002adma.201405913.pdf,doi,10.1002/adma.201405913
10.1002adma.201505435.pdf,doi,10.1002/adma.201505435
10.1002adma.201604603.pdf,doi,10.1002/adma.201604603
10.1002adma.201606574.pdf,doi,10.1002/adma.201606574
10.1002adma.201700144.pdf,doi,10.1002/adma.201700144
10.1002adma.201703777.pdf,doi,10.1002/adma.201703777
10.1002adma.201704713.pdf,doi,10.1002/adma.201704713
10.1002adma.201705243.pdf,doi,10.1002/adma.201705243
10.1002adma.201705485.pdf,doi,10.1002/adma.201705485
10.1002adma.201801501.pdf,doi,10.1002/adma.201801501
10.1002adma.201803045.pdf,doi,10.1002/adma.201803045
